AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CanonicalUrl,ControlStatement,County,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders,resource_intensity,suppression_power,containment_efficiency
14.0,False,CAL FIRE Nevada-Yuba-Placer Unit,2.0,1,/incidents/2014/7/21/iowa-fire/,All road closures have been lifted.,30,31,6.0,2.0,11.0,2014-07-22T18:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,Iowa Hill Road south of Colfax,0.0,False,Iowa Fire,100.0,151.5,True,"The Iowa Fire started on July 21, 2014 off Iowa Hill Road south of Colfax and burned 14 acres.",2014-07-21T14:49:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
14.0,False,CAL FIRE Riverside Unit,2.0,1,/incidents/2014/6/4/santa-fire/,All road closures have been lifted.,32,33,6.0,2.0,11.0,2014-06-04T16:30:00Z,3.0,False,True,Grass,2.0,3.0,0.0,off Santa Rosa & Rancho California Road in Temecula ,0.0,False,Santa Fire,100.0,151.5,True,"The Santa Fire started on June 4, 2014 and burned 30 acres off Santa Rosa & Rancho California Road in Temecula.",2014-06-04T15:18:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
10.0,False,USFS - Sierra National Forest,2.0,1,/incidents/2014/8/26/pines-fire/,All road closures have been lifted.,18,20,6.0,2.0,11.0,2014-12-12T13:45:00Z,3.0,False,True,Grass,2.0,3.0,37.0,Malum Ridge Road near Bass Lake,18.4,False,Pines Fire,100.0,151.5,True,The Pines Fire burned 10 acres at Malum Ridge Road near Bass Lake in Madera County. CAL FIRE is assisting USFS with the fire.,2014-08-26T16:23:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
6.0,False,CAL FIRE / Napa County Fire,2.0,1,/incidents/2014/8/24/south-napa-earthquake/,All road closures have been lifted.,27,28,6.0,2.0,11.0,2014-08-31T18:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,City and County of Napa,0.0,False,South Napa Earthquake,100.0,151.5,True,On August 24 a 6.0 magnitude earthquake occurred northwest of the City of American Canyon in Napa County. ,2014-08-24T03:20:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
0.0,False,US Forest Service - Klamath National Forest,2.0,1,/incidents/2014/8/11/happy-camp-complex/,All road closures have been lifted.,45,47,6.0,2.0,11.0,2014-08-14T09:30:00Z,3.0,False,True,Grass,2.0,3.0,41.796,in the Happy Camp area,-123.374,False,Happy Camp Complex,100.0,151.5,True,"The Happy Camp Complex started on August 11, 2014 and is burning in the Happy Camp area on the Klamath National Forest in Siskiyou County",2014-08-11T22:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
151623.0,False,Sierra National Forest ,2.0,2,/incidents/2015/7/31/rough-fire/,All road closures have been lifted.,9,10,6.0,2.0,11.0,2015-11-09T12:00:00Z,3.0,False,True,Grass,2.0,3.0,36.874,5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,-118.905,False,Rough Fire ,100.0,151.5,True,"The Rough Fire started on July 31 near Hume Lake, southwest of Spanish Mountain 5 on the Sierra National Forest in Fresno County. ",2015-07-31T19:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
77081.0,False,USFS - Shasta-Trinity National Forest,2.0,2,/incidents/2015/7/30/river-complex/,All road closures have been lifted.,53,53,6.0,2.0,11.0,2015-07-31T20:25:00Z,3.0,False,True,Grass,2.0,3.0,0.0,"Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village.",0.0,False,River Complex,100.0,151.5,True,"River Complex started on July 31 Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village in Trinity County.",2015-07-30T22:30:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
69438.0,False,CAL FIRE Sonoma-Lake-Napa Unit,2.0,2,/incidents/2015/7/29/rocky-fire/,All road closures have been lifted.,15,17,6.0,14.0,24.0,2015-08-14T18:15:00Z,3.0,False,True,Grass,2.0,3.0,38.8863538,"near Morgan Valley Road and Rocky Creek Road, east of Clear Lake",-122.4762475,True,Rocky Fire,100.0,227.0,True,"The Rock Fire started on July 29 near Morgan Valley Road and Rocky Creek Road, east of Lower Lake in Lake County. ",2015-07-29T15:29:00Z,8.0,96.0,0.0,45.0,8.0,9.08,16.0,0.43859649122807015
36503.0,False,USFS - Shasta-Trinity National Forest,2.0,2,/incidents/2015/7/30/fork-complex/,All road closures have been lifted.,53,53,6.0,2.0,11.0,2015-08-24T10:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,"Near the communities of Hayfork, Hyampom, and Harrison Gulch,",0.0,False,Fork Complex,100.0,151.5,True,"Fork Complex started on July 30 near the communities of Hayfork, Hyampom, and Harrison Gulch in Trinity County. ",2015-07-30T21:30:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
31359.0,False,CAL FIRE / San Bernardino National Forest / San Bernardino County Fire/ San Bernardino County Sheriffs,2.0,2,/incidents/2015/6/17/lake-fire/,All road closures have been lifted.,35,36,6.0,2.0,11.0,2015-08-01T22:15:00Z,3.0,False,True,Grass,2.0,3.0,34.160277777778,"Off Hwy 38, south of Big Bear Lake",-116.89277777778,False,Lake Fire,100.0,151.5,True,"The Lake Fire started on June 17, 2015 east of Camp de Benneville Pines, off Hwy 38, south of Big Bear Lake in the San Bernardino National Forest (San Bernardino County)and burned 31,359 acres.",2015-06-17T15:52:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
30361.0,False,USFS - Six Rivers National Forest,2.0,2,/incidents/2015/7/31/gasquet-complex/,All road closures have been lifted.,7,8,6.0,2.0,11.0,2015-08-04T09:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,Gasquet area,0.0,False,Gasquet Complex,100.0,151.5,True,"The Gasquet Complex started on July 31, 2015 and is burning Gasquet area in Del Norte County. ",2015-07-31T21:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
29416.0,False,USFS - Shasta - Trinity National Forest,2.0,2,/incidents/2015/7/30/south-complex/,All road closures have been lifted.,53,53,6.0,2.0,11.0,2015-08-03T14:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,Hyampom area,0.0,False,South Complex,100.0,151.5,True,"South Complex fire in the (Hyampom area) which includes the Pattison Fire (Formerly known as the Gates Fire), the Castle Fires, Pelletreau Fire, and the Kerlin Fire.",2015-07-30T16:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
25118.0,False,CAL FIRE Sonoma-Lake-Napa Unit,2.0,2,/incidents/2015/8/9/jerusalem-fire/,All road closures have been lifted.,15,"17,28",6.0,2.0,11.0,2015-08-25T06:45:00Z,3.0,False,True,Grass,2.0,3.0,38.8142503,"Jerusalem Valley area, northeast of Middletown",-122.4867319,True,Jerusalem Fire,100.0,151.5,True,"Jerusalem Fire started on August 9, 2015 near Jerusalem Grade Road and Soda Creek in Lower Lake/Lake County.",2015-08-09T15:34:00Z,6.0,27.0,0.0,0.0,4.0,12.625,4.0,0.6557377049180327
25118.0,False,CAL FIRE Sonoma-Lake-Napa Unit,2.0,2,/incidents/2015/8/9/jerusalem-fire/,All road closures have been lifted.,27,"17,28",6.0,2.0,11.0,2015-08-25T06:45:00Z,3.0,False,True,Grass,2.0,3.0,38.8142503,"Jerusalem Valley area, northeast of Middletown",-122.4867319,True,Jerusalem Fire,100.0,151.5,True,"Jerusalem Fire started on August 9, 2015 near Jerusalem Grade Road and Soda Creek in Lower Lake/Lake County.",2015-08-09T15:34:00Z,6.0,27.0,0.0,0.0,4.0,12.625,4.0,0.6557377049180327
10570.0,False,Bureau of Land Management,2.0,2,/incidents/2015/8/3/dodge-fire/,All road closures have been lifted.,16,18,6.0,2.0,11.0,2015-08-04T10:37:00Z,3.0,False,True,Grass,2.0,3.0,40.938,17 miles northeast of Ravendale,-120.105,False,Dodge Fire,100.0,151.5,True,"The Dodge Fire started on August 3, 2015 and burned 10,570 acres 17 miles northeast of Ravendale in Lassen County.",2015-08-03T14:15:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
7509.0,False,USFS - Six Rivers National Forest,2.0,2,/incidents/2015/8/1/nickowitz-fire/,All road closures have been lifted.,7,8,6.0,2.0,11.0,2015-11-09T12:00:00Z,3.0,False,True,Grass,2.0,3.0,0.0,near Orleans,0.0,False,Nickowitz Fire,100.0,151.5,True,"The Nickowitz Fire started on August 1, 2015 near Orleans in Del Norte County. ",2015-08-01T23:23:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
7000.0,False,CAL FIRE San Bernardino Unit,2.0,2,/incidents/2015/2/6/round-fire/,Open to residents only,12,"14,26",6.0,1.0,7.0,2015-02-12T07:35:00Z,3.0,False,True,Grass,2.0,4.0,0.0,Westside of Highway 395 at the Sherwin Grade,0.0,True,Round Fire,100.0,100.0,True,"The Round Fire burned 7,000 acres west of Highway 395 at the Sherwin Grade (Inyo County) in February 2015.",2015-02-06T14:07:00Z,5.0,40.0,0.0,45.0,4.0,12.5,3.0,0.9900990099009901
7000.0,False,CAL FIRE San Bernardino Unit,2.0,2,/incidents/2015/2/6/round-fire/,Open to residents only,25,"14,26",6.0,1.0,7.0,2015-02-12T07:35:00Z,3.0,False,True,Grass,2.0,4.0,0.0,Westside of Highway 395 at the Sherwin Grade,0.0,True,Round Fire,100.0,100.0,True,"The Round Fire burned 7,000 acres west of Highway 395 at the Sherwin Grade (Inyo County) in February 2015.",2015-02-06T14:07:00Z,5.0,40.0,0.0,45.0,4.0,12.5,3.0,0.9900990099009901
6980.0,False,USFS - Sequoia National Forest,2.0,2,/incidents/2015/7/19/cabin-fire/,All road closures have been lifted.,54,54,6.0,2.0,11.0,2015-09-05T18:00:00Z,3.0,False,True,Grass,2.0,3.0,36.24,"Golden Trout Wilderness, Sequoia National Forest",-118.54,False,Cabin Fire,100.0,151.5,True,"The Cabin Fire started on July 19, 2015 in the Golden Trout Wilderness on the Sequoia National Forest in Tulare County.",2015-07-19T08:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
5702.0,False,US Forest Service - Sierra National Forest ,2.0,2,/incidents/2015/7/25/willow-fire/,All road closures have been lifted.,18,20,6.0,2.0,11.0,2015-08-13T10:30:00Z,3.0,False,True,Grass,2.0,3.0,37.279722,"off of Willow Canyon Drive and Road 274, southeast of Bass Lake",-119.50014,False,Willow Fire,100.0,151.5,True,"The Willow Fire started on July 25 off and burned 5,702 acres of Willow Canyon Drive and Road 274, southeast of Bass Lake in Madera County. ",2015-07-25T14:30:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
